City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
444,Sanda,JP,70.0,scattered clouds,34.88,135.23,三田サミットホテル
445,Taksimo,RU,55.02,light rain,56.34,114.88,"Gostinitsa ""Viktoriya"""
447,Kondol,RU,70.0,few clouds,52.82,45.06,
449,Ambunti,PG,73.24,light rain,-4.24,142.84,Ambunti Lodge
450,Santa Fe,AR,72.0,clear sky,-31.63,-60.7,Conquistador Hotel
451,Geraldton,AU,50.0,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
452,Anglet,FR,73.4,few clouds,43.48,-1.51,Quick Palace Anglet
453,Chapais,CA,66.2,overcast clouds,49.78,-74.85,Hôtel Opémiska
455,Paita,PE,69.49,scattered clouds,-5.09,-81.11,Hotel Náutico de Paita
456,Kyrksaeterora,NO,54.0,shower rain,63.29,9.09,Hotel Cozy Hemne
457,La Teste-De-Buch,FR,73.4,scattered clouds,44.63,-1.14,Hotel Le Nautic
458,Severo-Kurilsk,RU,51.06,overcast clouds,50.68,156.12,Kak Doma
459,Yinchuan,CN,65.79,clear sky,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
462,Mchinji,MW,65.53,broken clouds,-13.8,32.88,Compass Lodge
463,Port Hedland,AU,64.4,clear sky,-20.32,118.57,The Esplanade Hotel
466,Villa Maria,AR,71.01,clear sky,-32.41,-63.24,Hotel Milenium
469,Biak,ID,74.37,clear sky,-0.91,122.88,Kost Ariz
471,Zhangye,CN,71.76,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
472,Koslan,RU,61.93,broken clouds,63.46,48.9,
476,Coolum Beach,AU,48.0,clear sky,-26.53,153.1,Coolum Beach Resort
478,Shimoda,JP,70.0,scattered clouds,34.67,138.95,Shimoda Tokyu Hotel
480,Udachnyy,RU,45.95,clear sky,66.42,112.4,Gostinitsa Vilyuy
481,Viedma,AR,68.0,few clouds,-40.81,-63.0,Hotel Cristal
483,Sao Gabriel Da Cachoeira,BR,73.4,broken clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
484,La Ronge,CA,64.4,broken clouds,55.1,-105.28,Northland Motor Hotel
486,Novyy Urgal,RU,55.76,overcast clouds,51.07,132.56,
487,Karratha,AU,74.26,few clouds,-20.74,116.85,ibis Styles Karratha
490,Mount Isa,AU,48.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
